year,longitude,latitude,ONI,sst,chlor_a,t2m_anomaly,loss_anual,loss_acum,treecover2000,gHM,fire_count,NDVI,EVI,LST_day,ET,precipitation,precip_anomaly,precip_extreme_days,NO2,NO2_source,CO,CO_source,SO2,SO2_source,cluster,gi_z,gi_p,hotspot_gi,coldspot_gi,multi_stress,region_analisis
2023,-86.79971444315048,14.485324284098557,1.2,,,0.9039470840536756,0.0274777335607352,0.3318937511943434,50.63516147525319,0.2434649983481833,1.824606821564948,0.6505992261652858,0.3335484916268663,300.295855075104,971.733964089232,982.201627790928,-21.330261064569186,1.0,1.0812263915306654e-05,S5P,0.0274065123228007,S5P,2.336680788880632e-05,S5P,1.0,-1.4399216241868031,0.001,False,False,-3.216407566097647,Otras Regiones
2023,-86.57513562211913,14.485324284100036,1.2,,,0.8049373907184036,0.1136363636363637,0.1545193961398814,60.99942671507735,0.2269466697799528,1.4496811478676763,0.7497706305543794,0.447743576567317,298.71786301456,1318.0213530016304,1064.6875982284546,-59.449356529116585,1.0,1.042180174032856e-05,S5P,0.0269113538545892,S5P,-2.490991300019133e-06,S5P,1.0,-1.3628858372908643,0.001,False,False,-4.25220092782291,Otras Regiones
2023,-118.46532820878744,14.709902926963608,1.2,27.3348958442176,,,,,0.0,,,,,,,,,,5.34816188670097e-06,S5P,0.0269128384202962,S5P,-1.561190834460844e-05,S5P,,,,,,,
2023,-118.24074938775934,14.709902926963728,1.2,27.33305951761984,,,,,0.0,,,,,,,,,,5.426674360818539e-06,S5P,0.0270395027382022,S5P,3.090016669126624e-05,S5P,,,,,,,
2023,-118.01617056672916,14.709902926961242,1.2,27.331653490092545,,,,,0.0,,,,,,,,,,5.662016355603339e-06,S5P,0.0264108340121719,S5P,3.5467968630077e-05,S5P,,,,,,,
2023,-117.7915917457002,14.709902926961725,1.2,27.332897269511687,,,,,0.0,,,,,,,,,,5.6525390970168e-06,S5P,0.0268190739226194,S5P,2.369338416219656e-05,S5P,,,,,,,
2023,-117.56701292466954,14.709902926961188,1.2,27.34818915790361,,,,,0.0,,,,,,,,,,4.76514539669316e-06,S5P,0.0266746473615385,S5P,3.3621808306985705e-05,S5P,,,,,,,
2023,-117.34243410363771,14.709902926965023,1.2,27.383767947312176,,,,,0.0,,,,,,,,,,5.376467070256722e-06,S5P,0.0267728780198251,S5P,9.901783930393445e-06,S5P,,,,,,,
2023,-117.1178552826126,14.709902926962949,1.2,27.43114242470781,,,,,0.0,,,,,,,,,,5.4390695736269244e-06,S5P,0.0269082950163307,S5P,1.950307697917073e-05,S5P,,,,,,,
2023,-116.89327646157912,14.709902926963014,1.2,27.47990565950644,,,,,0.0,,,,,,,,,,4.631117685729376e-06,S5P,0.027315669543298,S5P,3.3802759902592795e-05,S5P,,,,,,,
2023,-116.66869764055224,14.709902926962616,1.2,27.52238001344515,,,,,0.0,,,,,,,,,,5.33639896257374e-06,S5P,0.0274891527864223,S5P,6.857772487997015e-05,S5P,,,,,,,
2023,-116.44411881951778,14.709902926963334,1.2,27.558779045638385,,,,,0.0,,,,,,,,,,5.312490238713606e-06,S5P,0.0269447612305863,S5P,1.1673294895798165e-05,S5P,,,,,,,
2023,-116.21953999849208,14.709902926963911,1.2,27.58468819777617,,,,,0.0,,,,,,,,,,5.571611190448937e-06,S5P,0.027405332656206,S5P,1.0399586976763635e-05,S5P,,,,,,,
2023,-115.99496117746055,14.709902926962377,1.2,27.60523485984363,,,,,0.0,,,,,,,,,,5.793437039215419e-06,S5P,0.0267322537864557,S5P,2.769028232155886e-05,S5P,,,,,,,
2023,-115.77038235643064,14.709902926962268,1.2,27.623636519378568,,,,,0.0,,,,,,,,,,5.336614066480402e-06,S5P,0.0267797187600367,S5P,3.8281411424529775e-05,S5P,,,,,,,
2023,-115.54580353540136,14.70990292696239,1.2,27.6396286272821,,,,,0.0,,,,,,,,,,5.235546052927007e-06,S5P,0.0273399603774123,S5P,2.89503240669008e-05,S5P,,,,,,,
2023,-115.32122471437218,14.709902926963176,1.2,27.65314183973508,,,,,0.0,,,,,,,,,,5.422320243554615e-06,S5P,0.0278455636580727,S5P,3.1867861600129626e-05,S5P,,,,,,,
2023,-115.09664589334032,14.7099029269633,1.2,27.661349262300664,,,,,0.0,,,,,,,,,,5.920531874370523e-06,S5P,0.0269543102789673,S5P,1.5451477841169944e-05,S5P,,,,,,,
2023,-114.87206707231374,14.709902926965569,1.2,27.66639874893888,,,,,0.0,,,,,,,,,,5.468001424064949e-06,S5P,0.0269649946480413,S5P,2.5688505180686748e-05,S5P,,,,,,,
2023,-114.64748825128429,14.709902926967336,1.2,27.67320756104553,,,,,0.0,,,,,,,,,,5.556322033836844e-06,S5P,0.0272118597865389,S5P,2.606058707487892e-05,S5P,,,,,,,
